SubjectID,AssignmentID,ProblemID,Attempts,CorrectEventually,Label
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,41,2,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,43,10,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,44,4,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,46,7,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,49,20,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,67,3,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,104,2,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,106,9,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,107,16,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,494.0,108,2,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,45,2,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,48,3,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,51,9,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,56,1,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,57,2,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,64,10,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,70,6,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,71,3,True,True
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,112,5,True,False
036ad3e516c5bf3a4b3be35b137bcbb8,502.0,118,6,True,False
04c32d4d95425f73b3a1d6502aed4d48,494.0,41,4,True,False
04c32d4d95425f73b3a1d6502aed4d48,494.0,43,2,True,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,44,2,True,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,46,3,True,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,49,5,True,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,67,5,True,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,104,1,True,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,106,8,True,False
04c32d4d95425f73b3a1d6502aed4d48,494.0,107,5,True,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,108,1,True,True
04c32d4d95425f73b3a1d6502aed4d48,502.0,45,9,True,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,48,3,True,True
04c32d4d95425f73b3a1d6502aed4d48,502.0,51,10,True,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,56,5,True,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,57,2,True,True
04c32d4d95425f73b3a1d6502aed4d48,502.0,64,10,True,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,70,9,True,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,71,1,True,True
04c32d4d95425f73b3a1d6502aed4d48,502.0,112,9,True,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,118,5,True,False
0503bf609757acf2e75aa8cbc0d8323b,494.0,41,6,True,False
0503bf609757acf2e75aa8cbc0d8323b,494.0,43,4,True,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,44,2,True,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,46,1,True,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,49,2,True,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,67,1,True,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,104,1,True,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,106,3,True,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,107,1,True,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,108,2,True,True
06d801cb636235b298c40029ad9921e7,494.0,41,4,True,False
06d801cb636235b298c40029ad9921e7,494.0,43,7,True,True
06d801cb636235b298c40029ad9921e7,494.0,44,9,True,False
06d801cb636235b298c40029ad9921e7,494.0,46,1,True,True
06d801cb636235b298c40029ad9921e7,494.0,49,2,True,True
06d801cb636235b298c40029ad9921e7,494.0,67,1,True,True
06d801cb636235b298c40029ad9921e7,494.0,104,4,True,True
06d801cb636235b298c40029ad9921e7,494.0,106,2,True,True
06d801cb636235b298c40029ad9921e7,494.0,107,1,True,True
06d801cb636235b298c40029ad9921e7,494.0,108,1,True,True
06d801cb636235b298c40029ad9921e7,502.0,45,1,True,True
06d801cb636235b298c40029ad9921e7,502.0,48,1,True,True
06d801cb636235b298c40029ad9921e7,502.0,51,1,True,True
06d801cb636235b298c40029ad9921e7,502.0,56,2,True,True
06d801cb636235b298c40029ad9921e7,502.0,57,1,True,True
06d801cb636235b298c40029ad9921e7,502.0,64,1,True,True
06d801cb636235b298c40029ad9921e7,502.0,70,2,True,True
06d801cb636235b298c40029ad9921e7,502.0,71,1,True,True
06d801cb636235b298c40029ad9921e7,502.0,112,1,True,True
06d801cb636235b298c40029ad9921e7,502.0,118,1,True,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,41,1,True,True
